question_id,scope,theme,weight,weight_points,mapped_from,question,guidance,not_applicable_default
ACM-1,Infrastructure,Access,Important,5,ESIP-4.7,Can the dataset be accessed in its entirety?,"Every entry in the dataset should be accessible via direct download, API, or in a cloud container. This metric is not applicable to datasets behind access controls with an approval process, or in trusted research environments.",
ACM-2,Infrastructure,Metadata,Important,5,ODI-2.b,Is the metadata provided along with the data?,"All metadata should be colocated with the data. This means it should be visible on the same repository page, or packaged with the download. Journal articles are not considered metadata.",
ACM-3,Infrastructure,Integrity,Optional,2,MG-13,Does the dataset include a mechanism for verifying its integrity?,"For a direct download or cloud container, this would be a checksum or cryptographic hash. For an API using HTTPS/TLS, integrity checks are built into the protocol.",
ACM-4,Infrastructure,Licence,Critical,80,MG-52,Is the dataset released with a clear licence or terms of use?,Infrastructures may offer no guarantees about the licensing of the data they host. See NIH Policies as an example. Datasets with an explicit licence are strongly preferred.,
ACM-5,Infrastructure,Licence,Important,5,ESIP-3.17,Is the licence standardised and machine-readable?,"e.g. Creative Commons, MIT.",
ACM-6,Infrastructure,Resource,Important,5,Bridge2AI-5.b,Is the dataset deposited in a FAIR-compliant archive?,"General purpose repositories may or may not be FAIR-compliant. For example, Zenodo is considered FAIR-compliant. HuggingFace and Kaggle are not.",
ACM-7,Infrastructure,Resource,Important,5,Bridge2AI-5.b,Is the dataset deposited in a domain-appropriate infrastructure?,"A domain-appropriate archive is preferred for findability, access to specific tooling, and consistent implementation of standards. The alternative is a general purpose archive, e.g. Zenodo, Data Dryad.",
ACM-8,Infrastructure,Resource,Optional,2,FAIR-F.4,Is the dataset hosted in a searchable infrastructure?,"Infrastructures vary in the search functionality they offer, but it should be possible to search for a dataset based on metadata properties as well as looking it up directly via an ID or accession.",
ACM-9,Infrastructure,UID,Critical,80,MG-140,"Does the dataset have a globally unique, persistent identifier?","A URL does not count as a persistent identifier. An accession assigned by a repository is acceptable, as long as the combination of repository+accession uniquely identifies the dataset. While FAIR-compliant archives provide UIDs, not all archives do (e.g. Kaggle).",
ACM-10,Infrastructure,Updates,Optional,2,ODI-3.c,"If the dataset is subject to updates, does it use a version control system?","If the dataset will not be updated, mark this question ""Yes"".",
ACM-11,Metadata,Bias,Important,5,MG-94 / MG-98,Is consideration of bias documented in the metadata?,An accompanying research article does not form part of the metadata.,
ACM-12,Metadata,Metadata,Critical,80,MG-66,"Does the dataset use a machine-readable, domain-appropriate metadata standard?","Metadata should include a domain-appropriate set of information about the dataset, following a standard. For example, Minimum Information Standards (e.g. MIAME, MIAPE). Variable names should be self-explanatory.",
ACM-13,Metadata,Metadata,Critical,80,FAIR-F.3,Does the metadata include the identifier of the dataset?,"The metadata should be clearly linked to the dataset with a unqiue identifier. If the dataset has no unique identifier, mark this question ""No"". A URL does not qualify as a unique identifier.",
ACM-14,Metadata,Metadata,Optional,2,MG-77,Does the metadata specify intended access controls?,"e.g. “public”, “controlled access only”, etc. If the data is publically available with no limitations on use, this should be specified.",
ACM-15,Metadata,Metadata,Optional,2,ODI-2.c.i,Does the metadata document the modalities used?,"e.g. RNA sequence, molecular structure, spectrum, image .",
ACM-16,Metadata,Preprocessing,Important,5,MG-33,Are transformation and preprocessing steps documented well enough to reproduce them?,"Either with software in a repository, or with a detailed description.",
ACM-17,Metadata,Provenance,Critical,80,MG-37 / ODI-2.c.vi,Is the provenance of the dataset clearly documented?,"This should include who generated or collected it, how it's been processed, whether it has been published before, whether it contains data from other sources, whether and how it was measured or simulated. If any of these things is missing, mark the question ""No"".",
ACM-18,Content,Quality,Important,5,AIDRIN-1.c,Is the dataset free of duplicate records?,Repeated records or files is a common mistake that damages the quality of a dataset.,
