Q ID,Scope,Question,Notes,Grade,Answer,Weighted score,Comments
ABC-01,Infrastructure,Can the dataset be accessed in its entirety?,"Every entry in the dataset should be accessible via direct download, API, or in a cloud container. This metric is not applicable to datasets behind access controls with an approval process, or in trusted research environments.",Important,Yes,5,"Though only via CILogin, signing a Data Use Agreement and providing an Azure Storage Container for the 3.82 TB"
ABC-02,Infrastructure,Is the metadata provided along with the data?,"All metadata should be colocated with the data. This means it should be visible on the same repository page, or packaged with the download. Journal articles are not considered metadata.",Important,Yes,5,Mapped to Clinical Dataset Structure and the OMOP Comon Data Model
ABC-03,Infrastructure,Does the dataset include a mechanism for verifying its integrity?,"For a direct download or cloud container, this would be a checksum or cryptographic hash. For an API using HTTPS/TLS, integrity checks are built into the protocol.",Optional,Yes,2,Azure storage containers enforce checksums
ABC-04,Infrastructure,Is the dataset released with a clear licence or terms of use?,Infrastructures may offer no guarantees about the licensing of the data they host. See NIH Policies as an example. Datasets with an explicit licence are strongly preferred.,Critical,Yes,80,Data use agreement
ABC-05,Infrastructure,Is the licence standardised and machine-readable?,"e.g. Creative Commons, MIT.",Important,No,0,Custom license
ABC-06,Infrastructure,Is the dataset deposited in a FAIR-compliant archive?,"General purpose repositories may or may not be FAIR-compliant. For example, Zenodo is considered FAIR-compliant. HuggingFace and Kaggle are not.",Important,Yes,5,FAIRHub built specifically
ABC-07,Infrastructure,Is the dataset deposited in a domain-appropriate infrastructure?,"A domain-appropriate archive is preferred for findability, access to specific tooling, and consistent implementation of standards. The alternative is a general purpose archive, e.g. Zenodo, Data Dryad.",Important,Yes,5,FAIRHub built specifically
ABC-08,Infrastructure,Is the dataset hosted in a searchable infrastructure?,"Infrastructures vary in the search functionality they offer, but it should be possible to search for a dataset based on metadata properties as well as looking it up directly via an ID or accession.",Optional,Yes,2,"FAIRHub platform, cross-referenced in NIH documentation"
ABC-09,Infrastructure,"Does the dataset have a globally unique, persistent identifier?","A URL does not count as a persistent identifier. An accession assigned by a repository is acceptable, as long as the combination of repository+accession uniquely identifies the dataset. While FAIR-compliant archives provide UIDs, not all archives do (e.g. Kaggle).",Critical,Yes,80,DOI
ABC-10,Infrastructure,"If the dataset is subject to updates, does it use a version control system?","If the dataset will not be updated, mark this question ""Yes"".",Optional,Yes,2,"v1.00, 2.00, etc."
