question_id,scope,weight,weight_points,question,guidance,not_applicable_default
ABC-01,Infrastructure,Important,5,Can the dataset be accessed in its entirety?,"Every entry in the dataset should be accessible via direct download, API, or in a cloud container. This metric is not applicable to datasets behind access controls with an approval process, or in trusted research environments.",
ABC-02,Infrastructure,Important,5,Is the metadata provided along with the data?,"All metadata should be colocated with the data. This means it should be visible on the same repository page, or packaged with the download. Journal articles are not considered metadata.",
ABC-03,Infrastructure,Optional,2,Does the dataset include a mechanism for verifying its integrity?,"For a direct download or cloud container, this would be a checksum or cryptographic hash. For an API using HTTPS/TLS, integrity checks are built into the protocol.",
ABC-04,Infrastructure,Critical,80,Is the dataset released with a clear licence or terms of use?,Infrastructures may offer no guarantees about the licensing of the data they host. See NIH Policies as an example. Datasets with an explicit licence are strongly preferred.,
ABC-05,Infrastructure,Important,5,Is the licence standardised and machine-readable?,"e.g. Creative Commons, MIT.",
ABC-06,Infrastructure,Important,5,Is the dataset deposited in a FAIR-compliant archive?,"General purpose repositories may or may not be FAIR-compliant. For example, Zenodo is considered FAIR-compliant. HuggingFace and Kaggle are not.",
ABC-07,Infrastructure,Important,5,Is the dataset deposited in a domain-appropriate infrastructure?,"A domain-appropriate archive is preferred for findability, access to specific tooling, and consistent implementation of standards. The alternative is a general purpose archive, e.g. Zenodo, Data Dryad.",
ABC-08,Infrastructure,Optional,2,Is the dataset hosted in a searchable infrastructure?,"Infrastructures vary in the search functionality they offer, but it should be possible to search for a dataset based on metadata properties as well as looking it up directly via an ID or accession.",
ABC-09,Infrastructure,Critical,80,"Does the dataset have a globally unique, persistent identifier?","A URL does not count as a persistent identifier. An accession assigned by a repository is acceptable, as long as the combination of repository+accession uniquely identifies the dataset. While FAIR-compliant archives provide UIDs, not all archives do (e.g. Kaggle).",
ABC-10,Infrastructure,Optional,2,"If the dataset is subject to updates, does it use a version control system?","If the dataset will not be updated, mark this question ""Yes"".",
ABC-11,Metadata,Critical,80,"Does the dataset use a machine-readable, domain-appropriate metadata standard?","Metadata should include a domain-appropriate set of information about the dataset, following a standard. For example, Minimum Information Standards (e.g. MIAME, MIAPE). Variable names should be self-explanatory.",
ABC-12,Metadata,Critical,80,Does the metadata include the identifier of the dataset?,"The metadata should be clearly linked to the dataset with a unique identifier. If the dataset has no unique identifier, mark this question ""No"". A URL does not qualify as a unique identifier.",
ABC-13,Metadata,Optional,2,Does the metadata specify intended access controls?,"e.g. ""public"", ""controlled access only"", etc. If the data is publically available with no limitations on use, this should be specified.",
ABC-14,Metadata,Optional,2,Does the metadata document the modalities used?,"e.g. RNA sequence, molecular structure, spectrum, image",
ABC-15,Metadata,Important,5,Are transformation and preprocessing steps documented well enough to reproduce them?,"Either with software in a repository, or with a detailed description.",
ABC-16,Metadata,Critical,80,Is the provenance of the dataset clearly documented?,"This should include who generated or collected it, how it's been processed, whether it has been published before, whether it contains data from other sources, whether and how it was measured or simulated. If any of these things is missing, mark the question ""No"".",
ABC-17,Metadata,Important,5,Is consideration of bias documented in the metadata?,An accompanying research article does not form part of the metadata.,
ABC-18,Content,Important,5,Is the dataset free of duplicate records?,Repeated records or files is a common mistake that damages the quality of a dataset.,
ABC-19,Content,Important,5,Does the dataset include all expected records and content?,"The expected content is defined by the metadata. If the dataset has no metadata, mark this question ""No"".",
ABC-20,Content,Critical,80,"Are units, data types and parameter names consistent between entries?","Data types and vocabularies should be used consistently, even if a dataset combines data from multiple sources.",
ABC-21,Content,Important,5,"Does the dataset follow domain standards with respect to units, data types, parameter names?",This could be indicated by a schema or domain-specific minimum information standard.,
ABC-22,Content,Optional,2,Does the data use an appropriate file format?,"Particularly with respect to efficiency and suitability. The appropriate format is specific to the modality, domain, and intended use.",
ABC-23,Content,Optional,2,"Is the data available in at least one open, non-proprietary format?",It should be possible to read a dataset and write it to a different format without the use of proprietary software.,
ABC-24,Ethics,Critical,80,"If the dataset contains data from animal or human subjects, does the dataset include an ethical assessment that covers acquisition?","This includes consent, sampling methods, regulatory compliance, and funding sources. The acquisition should be described using an appropriate framework, like the Belmont, Menlo, or CARE principles, sufficient for its proper evaluation in context of intended use. If the dataset contains no human or animal data, mark the question ""Yes"".",Yes
ABC-25,Ethics,Critical,80,"If the dataset contains data from human subjects, does the dataset preserve the privacy of subjects?","The risk of reidentification when the data is used to train AI should also be considered. If the dataset contains no human data, mark the question ""Yes"".",Yes
ABC-26,Ethics,Important,5,"If the dataset contains data from human subjects, does the dataset include an ethical assessment that covers data management?","Management includes processing, storage, access and use. The management plan should indicate privacy-protection processing, if any, sufficient to evaluate ethical status for intended use, e.g. ""anonymized"" vs. ""limited data set"" vs. ""non-PHI dataset"". If the dataset contains no human data, mark the question ""Yes"".",Yes
ABC-27,Ethics,Optional,2,"If the dataset contains data from human subjects, does the metadata document data protection declarations?","The metadata should specify what consent was given by participants and the legal basis for collection and processing. If the dataset contains no human data, mark the question ""Yes"".",Yes
