field,value
schema_version,0.3
reviewer_name,Test Submitter
reviewer_initials,TS
reviewer_orcid,0000-0000-0000-0002
reviewer_affiliation,AIBIO-UK Test Institution
review_date,2026-05-22
dataset_name,Example Proteomics Dataset
dataset_url,https://www.ebi.ac.uk/pride/archive/projects/PXD000002
dataset_accession,PXD000002
hosting_resource,PRIDE
process_comments,Review conducted against metric v0.3. No human or animal subjects in this dataset.
weighted_score,
grade,

question_id,scope,theme,weight,question,guidance,answer,not_applicable,comments
ACM-1,Infrastructure,Access,Important,"Can the dataset be accessed in its entirety?","Every entry in the dataset should be accessible via direct download, API, or in a cloud container. This metric is not applicable to datasets behind access controls with an approval process, or in trusted research environments.",Yes,FALSE,Full dataset downloadable via PRIDE FTP.
ACM-2,Infrastructure,Access,Important,"Is there a standardised communications protocol for accessing the dataset?","For example, HTTPS, FTP, or an authenticated API. The protocol should be open, free, and universally implementable.",Yes,FALSE,Accessible via FTP and HTTPS.
ACM-3,Infrastructure,Access,Optional,"Does the access protocol allow for authentication and authorisation where necessary?","Some datasets require controlled access. The protocol should support authentication where needed.",Yes,FALSE,PRIDE supports authenticated access for embargoed data.
ACM-4,Infrastructure,License,Critical,"Is the dataset provided with a clear data-use license?","The dataset should have a license that specifies how it may be used, shared, and modified. A Creative Commons or Open Data Commons license is preferred.",Yes,FALSE,CC0 license applied.
ACM-5,Infrastructure,License,Critical,"Does the dataset's license permit use in AI/ML model training?","Some licenses explicitly restrict use in AI training or commercial AI applications. The license terms should be checked for such restrictions.",Yes,FALSE,CC0 explicitly permits all uses including AI/ML training.
ACM-6,Infrastructure,Download,Important,"Is there a mechanism to download the entire dataset at once?","A bulk download option (e.g. archive file, rsync endpoint, or API with pagination) should be available. Scraping individual entries is not sufficient.",Yes,FALSE,FTP bulk download available.
ACM-7,Infrastructure,Resource,Optional,"Is the hosting resource specifically designed for scientific data?","e.g. a domain repository, data repository, or institutional repository. General-purpose file sharing services (e.g. Google Drive, Dropbox) are not considered scientific data hosting.",Yes,FALSE,PRIDE is a domain repository for proteomics data.
ACM-8,Infrastructure,Resource,Optional,"Is the dataset hosted in a searchable infrastructure?","Infrastructures vary in the search functionality they offer, but it should be possible to search for a dataset based on metadata properties as well as looking it up directly via an ID or accession.",Yes,FALSE,Searchable via PRIDE web interface and API.
ACM-9,Infrastructure,UID,Critical,"Does the dataset have a globally unique, persistent identifier?","A URL does not count as a persistent identifier. An accession assigned by a repository is acceptable as long as the combination of repository+accession uniquely identifies the dataset. While FAIR-compliant archives provide UIDs, not all archives do (e.g. Kaggle).",Yes,FALSE,PXD000002 is a persistent PRIDE accession.
ACM-10,Infrastructure,Updates,Optional,"If the dataset is subject to updates, does it use a version control system?","If the dataset will not be updated, mark this question ""Yes"".",Yes,FALSE,Dataset is static; no updates expected.
ACM-11,Metadata,Bias,Important,"Is consideration of bias documented in the metadata?","An accompanying research article does not form part of the metadata.",Yes,FALSE,Sample bias considerations noted in metadata.
ACM-12,Metadata,Metadata,Critical,"Does the dataset use a machine-readable, domain-appropriate metadata standard?","Metadata should include a domain-appropriate set of information about the dataset, following a standard. For example, Minimum Information Standards (e.g. MIAME, MIAPE). Variable names should be self-explanatory.",Yes,FALSE,Follows MIAPE standard for proteomics experiments.
ACM-13,Metadata,Metadata,Critical,"Does the metadata include the identifier of the dataset?","The metadata should be clearly linked to the dataset with a unique identifier. If the dataset has no unique identifier, mark this question ""No"". A URL does not qualify as a unique identifier.",Yes,FALSE,PXD000002 accession present in metadata.
ACM-14,Metadata,Metadata,Optional,"Does the metadata specify intended access controls?","e.g. ""public"", ""controlled access only"", etc. If the data is publicly available with no limitations on use, this should be specified.",Yes,FALSE,Metadata states publicly available with no restrictions.
ACM-15,Metadata,Metadata,Optional,"Does the metadata document the modalities used?","e.g. RNA sequence, molecular structure, spectrum, image.",Yes,FALSE,Modality: mass spectrometry proteomics.
ACM-16,Metadata,Preprocessing,Important,"Are transformation and preprocessing steps documented well enough to reproduce them?","Either with software in a repository, or with a detailed description.",Yes,FALSE,Processing pipeline described in associated publication and metadata.
ACM-17,Metadata,Provenance,Critical,"Is the provenance of the dataset clearly documented?","This should include who generated or collected it, how it has been processed, whether it has been published before, whether it contains data from other sources, and whether and how it was measured or simulated. If any of these things is missing, mark the question ""No"".",Yes,FALSE,Full provenance documented including originating lab, collection protocol, and publication.
ACM-18,Content,Quality,Important,"Is the dataset free of duplicate records?","Repeated records or files is a common mistake that damages the quality of a dataset.",Yes,FALSE,No duplicate records identified.
ACM-19,Content,Quality,Important,"Does the dataset include all expected records and content?","The expected content is defined by the metadata. If the dataset has no metadata, mark this question ""No"".",Yes,FALSE,All expected files present per metadata description.
