field,value
schema_version,0.5
reviewer_name,
reviewer_initials,
reviewer_orcid,
reviewer_affiliation,
review_date,
dataset_name,
dataset_url,
dataset_accession,
hosting_resource,
process_comments,

question_id,scope,weight,question,guidance,answer,not_applicable,comments
ABC-01,Infrastructure,Important,Can the dataset be accessed in its entirety?,"Every entry in the dataset should be accessible via direct download, API, or in a cloud container. This metric is not applicable to datasets behind access controls with an approval process, or in trusted research environments.",,FALSE,
ABC-02,Infrastructure,Important,Is metadata provided along with the data?,"Metadata should be colocated with the data. This means it should be visible on the same repository page, or packaged with the download. Journal articles are not considered metadata.",,FALSE,
ABC-03,Infrastructure,Optional,Does the dataset include a mechanism for verifying its integrity?,"For a direct download or cloud container, mark yes if each file or download has a checksum or cryptographic hash (e.g. MD5, SHA-256). If the dataset is served via an API over HTTPS/TLS, mark this ""Yes"" (the transit protocol has built-in integrity checks covering delivery)",,FALSE,
ABC-04,Infrastructure,Critical,Is the dataset released with a clear licence or terms of use?,Infrastructures may offer no guarantees about the licensing of the data they host. See NIH Policies as an example. Datasets with an explicit licence are strongly preferred.,,FALSE,
ABC-05,Infrastructure,Important,Is the licence standardised and machine-readable?,"e.g. Creative Commons, MIT. If there is no clear licence, mark this question ""No""",,FALSE,
ABC-06,Infrastructure,Important,Is the dataset deposited in a FAIR-compliant archive?,"Mark ""Yes"" if the repository is either (a) listed as FAIR-aligned in a recognised registry (e.g. FAIRsharing.org), or (b) an established domain repository that implements FAIR (e.g. GEO, PRIDE, PDB, MetaboLights), or (c) a FAIR-aligned general repository such as Zenodo, FigShare, or Dryad. Mark ""No"" for repositories that do not issue persistent identifiers and expose machine-readable metadata, e.g. HuggingFace, Kaggle.",,FALSE,
ABC-07,Infrastructure,Important,Is the dataset deposited in a domain-appropriate infrastructure?,"A domain-appropriate archive is preferred for findability, access to specific tooling, and consistent implementation of standards. The alternative is a general purpose archive, e.g. Zenodo, Data Dryad.",,FALSE,
ABC-08,Infrastructure,Optional,Is the dataset hosted in a searchable infrastructure?,"Infrastructures vary in the search functionality they offer, but it should be possible to search for a dataset based on metadata properties as well as looking it up directly via an ID or accession.",,FALSE,
ABC-09,Infrastructure,Critical,"Does the dataset have a globally unique, persistent identifier?","A URL does not count as a persistent identifier. A DOI does qualify. An accession assigned by a repository is acceptable, as long as the combination of repository+accession uniquely identifies the dataset. While FAIR-compliant archives provide UIDs, not all archives do (e.g. Kaggle).",,FALSE,
ABC-10,Infrastructure,Optional,"If the dataset is subject to updates, does it use a version control system?","Mark ""Yes"" if the dataset uses version control, e.g. versioned releases with distinct version identifiers or version-specific DOIs. If there is no likely indication that the dataset is subject to updates, mark ""Yes"". Mark ""No"" only if the dataset is subject to updates but provides no versioning.",,FALSE,
