field,value
schema_version,0.3
reviewer_name,Gavin Farrell
reviewer_initials,GF
reviewer_orcid,0000-0000-0000-0000
reviewer_affiliation,University of Padova; EMBL-EBI
review_date,2026-05-25
dataset_name,DOME Copilot - Data Files (V1)
dataset_url,https://zenodo.org/records/18973687
dataset_accession,zenodo.18973687
hosting_resource,Zenodo
process_comments,"Review conducted against AIRBDS Metric v0.3 using the GF personal skill (skills/GF/GF-airbds-assessment-skill/SKILL.md). Assessment based on publicly visible Zenodo record metadata at https://zenodo.org/records/18973687.
"
weighted_score,698
grade,Bronze

question_id,scope,theme,weight,question,guidance,answer,not_applicable,comments
ACM-1,Infrastructure,Access,Important,Can the dataset be accessed in its entirety?,"Every entry in the dataset should be accessible via direct download, API, or in a cloud container. This metric is not applicable to datasets behind access controls with an approval process, or in trusted research environments.",Yes,FALSE,"Dataset accessible via Zenodo with a free account registration (no approval process required); main archive DOME_Copilot_Data_Package.zip is downloadable once logged in.
"
ACM-2,Infrastructure,Access,Important,Is there a standardised communications protocol for accessing the dataset?,"For example, HTTPS, FTP, or an authenticated API. The protocol should be open, free, and universally implementable.",Yes,FALSE,"Zenodo serves files over HTTPS, a standardised, open, universally implementable protocol."
ACM-3,Infrastructure,Access,Optional,Does the access protocol allow for authentication and authorisation where necessary?,Some datasets require controlled access. The protocol should support authentication where needed.,Yes,FALSE,Zenodo supports OAuth2 authentication and can enforce access controls on restricted deposits.
ACM-4,Infrastructure,License,Critical,Is the dataset provided with a clear data-use license?,"The dataset should have a license that specifies how it may be used, shared, and modified. A Creative Commons or Open Data Commons license is preferred.",Yes,FALSE,Creative Commons Attribution 4.0 International (CC BY 4.0) license is explicitly stated on the Zenodo record.
ACM-5,Infrastructure,License,Critical,Does the dataset's license permit use in AI/ML model training?,Some licenses explicitly restrict use in AI training or commercial AI applications. The license terms should be checked for such restrictions.,Yes,FALSE,CC BY 4.0 imposes no restriction on AI/ML training use; attribution is required but this does not prevent training use.
ACM-6,Infrastructure,Download,Important,Is there a mechanism to download the entire dataset at once?,"A bulk download option (e.g. archive file, rsync endpoint, or API with pagination) should be available. Scraping individual entries is not sufficient.",Yes,FALSE,A single-archive download DOME_Copilot_Data_Package.zip (41.8 GB) is provided for bulk access.
ACM-7,Infrastructure,Resource,Optional,Is the hosting resource specifically designed for scientific data?,"e.g. a domain repository, data repository, or institutional repository. General-purpose file sharing services (e.g. Google Drive, Dropbox) are not considered scientific data hosting.",Yes,FALSE,Zenodo is CERN's open-access repository specifically designed for scientific data and research outputs.
ACM-8,Infrastructure,Resource,Optional,Is the dataset hosted in a searchable infrastructure?,"Infrastructures vary in the search functionality they offer, but it should be possible to search for a dataset based on metadata properties as well as looking it up directly via an ID or accession.",Yes,FALSE,"Zenodo provides full-text search across titles, descriptions, keywords, and DOIs; record is publicly searchable."
ACM-9,Infrastructure,UID,Critical,"Does the dataset have a globally unique, persistent identifier?","A URL does not count as a persistent identifier. An accession assigned by a repository is acceptable, as long as the combination of repository+accession uniquely identifies the dataset. While FAIR-compliant archives provide UIDs, not all archives do (e.g. Kaggle).",Yes,FALSE,"DOI 10.5281/zenodo.18973687 is a globally unique, persistent identifier issued and maintained by Zenodo/DataCite."
ACM-10,Infrastructure,Updates,Optional,"If the dataset is subject to updates, does it use a version control system?","If the dataset will not be updated, mark this question ""Yes"".",Yes,FALSE,"Zenodo supports dataset versioning; v2 is noted as available, confirming version control is in place."
ACM-11,Metadata,Bias,Important,Is consideration of bias documented in the metadata?,An accompanying research article does not form part of the metadata.,No,FALSE,No explicit bias documentation is present in the Zenodo record metadata or description; bias considerations are not mentioned.
ACM-12,Metadata,Metadata,Critical,"Does the dataset use a machine-readable, domain-appropriate metadata standard?","Metadata should include a domain-appropriate set of information about the dataset, following a standard. For example, Minimum Information Standards (e.g. MIAME, MIAPE). Variable names should be self-explanatory.",Yes,FALSE,Zenodo uses the DataCite metadata schema (machine-readable JSON/XML); dataset content follows the DOME Registry structured format.
ACM-13,Metadata,Metadata,Critical,Does the metadata include the identifier of the dataset?,"The metadata should be clearly linked to the dataset with a unique identifier. If the dataset has no unique identifier, mark this question ""No"". A URL does not qualify as a unique identifier.",Yes,FALSE,The DOI 10.5281/zenodo.18973687 is embedded in the record metadata and uniquely identifies this dataset.
ACM-14,Metadata,Metadata,Optional,Does the metadata specify intended access controls?,"e.g. ""public"", ""controlled access only"", etc. If the data is publicly available with no limitations on use, this should be specified.",Yes,FALSE,"The Zenodo record metadata specifies access_right as ""restricted"", clearly documenting the intended access control."
ACM-15,Metadata,Metadata,Optional,Does the metadata document the modalities used?,"e.g. RNA sequence, molecular structure, spectrum, image.",Yes,FALSE,"The description documents data modalities: human-annotated JSON metadata, AI-generated DOME JSON outputs, CSV index, and PDF full texts.
"
ACM-16,Metadata,Preprocessing,Important,Are transformation and preprocessing steps documented well enough to reproduce them?,"Either with software in a repository, or with a detailed description.",No,FALSE,"The record states files were downloaded from PubMed Central via APIs, but provides no software, scripts, or detailed step-by-step description sufficient to reproduce the retrieval and annotation pipeline.
"
ACM-17,Metadata,Provenance,Critical,Is the provenance of the dataset clearly documented?,"This should include who generated or collected it, how it has been processed, whether it has been published before, whether it contains data from other sources, whether and how it was measured or simulated. If any of these things is missing, mark the question ""No"".",No,FALSE,"Creators and source (PubMed Central) are documented, but the processing pipeline (paper selection criteria, AI model/prompt details, annotation guidelines) is not described in sufficient detail to satisfy the provenance requirement; no linked methodology publication is referenced in the Zenodo metadata.
"
