field,value
schema_version,0.3
reviewer_name,Gavin Farrell
reviewer_initials,GF
reviewer_orcid,0000-0000-0000-0000
reviewer_affiliation,University of Padova; EMBL-EBI
review_date,2025-05-21
dataset_name,Pan-cancer proteogenomics — CPTAC breast cancer cohort
dataset_url,https://proteomics.cancer.gov/data-portal/cptac/brca
dataset_accession,PXD001819
hosting_resource,PRIDE / CPTAC Data Portal
process_comments,Review conducted against AIRBDS Metric v0.3. Dataset contains human tumour samples — ethics questions answered in full.
weighted_score,711
grade,Silver

question_id,scope,theme,weight,question,guidance,answer,not_applicable,comments
ACM-1,Infrastructure,Access,Important,Can the dataset be accessed in its entirety?,"Every entry in the dataset should be accessible via direct download, API, or in a cloud container. This metric is not applicable to datasets behind access controls with an approval process, or in trusted research environments.",Yes,FALSE,Full dataset downloadable via PRIDE and CPTAC data portal.
ACM-2,Infrastructure,Metadata,Important,Is the metadata provided along with the data?,"All metadata should be colocated with the data. This means it should be visible on the same repository page, or packaged with the download. Journal articles are not considered metadata.",Yes,FALSE,Accessible via HTTPS and FTP.
ACM-3,Infrastructure,Integrity,Optional,Does the dataset include a mechanism for verifying its integrity?,"For a direct download or cloud container, this would be a checksum or cryptographic hash. For an API using HTTPS/TLS, integrity checks are built into the protocol.",Yes,FALSE,PRIDE supports authenticated access; CPTAC portal requires registration for some files.
ACM-4,Infrastructure,Licence,Critical,Is the dataset released with a clear licence or terms of use?,Infrastructures may offer no guarantees about the licensing of the data they host. See NIH Policies as an example. Datasets with an explicit licence are strongly preferred.,Yes,FALSE,CC-BY-4.0 applied via CPTAC data use agreement.
ACM-5,Infrastructure,Licence,Important,Is the licence standardised and machine-readable?,"e.g. Creative Commons, MIT.",Yes,FALSE,License permits non-commercial research including AI/ML.
ACM-6,Infrastructure,Resource,Important,Is the dataset deposited in a FAIR-compliant archive?,"General purpose repositories may or may not be FAIR-compliant. For example, Zenodo is considered FAIR-compliant. HuggingFace and Kaggle are not.",Yes,FALSE,Bulk download available via PRIDE FTP and CPTAC download tool.
ACM-7,Infrastructure,Resource,Important,Is the dataset deposited in a domain-appropriate infrastructure?,"A domain-appropriate archive is preferred for findability, access to specific tooling, and consistent implementation of standards. The alternative is a general purpose archive, e.g. Zenodo, Data Dryad.",Yes,FALSE,PRIDE is a domain repository; CPTAC Data Portal is purpose-built for cancer proteogenomics.
ACM-8,Infrastructure,Resource,Optional,Is the dataset hosted in a searchable infrastructure?,"Infrastructures vary in the search functionality they offer, but it should be possible to search for a dataset based on metadata properties as well as looking it up directly via an ID or accession.",Yes,FALSE,Searchable by accession
ACM-9,Infrastructure,UID,Critical,"Does the dataset have a globally unique, persistent identifier?","A URL does not count as a persistent identifier. An accession assigned by a repository is acceptable, as long as the combination of repository+accession uniquely identifies the dataset. While FAIR-compliant archives provide UIDs, not all archives do (e.g. Kaggle).",Yes,FALSE,PXD001819 is a persistent PRIDE accession.
ACM-10,Infrastructure,Updates,Optional,"If the dataset is subject to updates, does it use a version control system?","If the dataset will not be updated, mark this question ""Yes"".",Yes,FALSE,Static post-publication dataset; no updates expected.
ACM-11,Metadata,Bias,Important,Is consideration of bias documented in the metadata?,An accompanying research article does not form part of the metadata.,No,FALSE,No explicit bias statement in the metadata record.
ACM-12,Metadata,Metadata,Critical,"Does the dataset use a machine-readable, domain-appropriate metadata standard?","Metadata should include a domain-appropriate set of information about the dataset, following a standard. For example, Minimum Information Standards (e.g. MIAME, MIAPE). Variable names should be self-explanatory.",Yes,FALSE,Follows MIAPE standard for proteomics; mzIdentML and mzTab used.
ACM-13,Metadata,Metadata,Critical,Does the metadata include the identifier of the dataset?,"The metadata should be clearly linked to the dataset with a unqiue identifier. If the dataset has no unique identifier, mark this question ""No"". A URL does not qualify as a unique identifier.",Yes,FALSE,PXD001819 accession present in metadata.
ACM-14,Metadata,Metadata,Optional,Does the metadata specify intended access controls?,"e.g. “public”, “controlled access only”, etc. If the data is publically available with no limitations on use, this should be specified.",Yes,FALSE,Access level stated as public with registration required for some files.
ACM-15,Metadata,Metadata,Optional,Does the metadata document the modalities used?,"e.g. RNA sequence, molecular structure, spectrum, image .",Yes,FALSE,Modality documented: mass spectrometry-based proteomics (TMT-labelled).
ACM-16,Metadata,Preprocessing,Important,Are transformation and preprocessing steps documented well enough to reproduce them?,"Either with software in a repository, or with a detailed description.",Yes,FALSE,Preprocessing pipeline described in linked publication and supplementary methods.
ACM-17,Metadata,Provenance,Critical,Is the provenance of the dataset clearly documented?,"This should include who generated or collected it, how it's been processed, whether it has been published before, whether it contains data from other sources, whether and how it was measured or simulated. If any of these things is missing, mark the question ""No"".",Yes,FALSE,Full provenance: CPTAC consortium
ACM-18,Content,Quality,Important,Is the dataset free of duplicate records?,Repeated records or files is a common mistake that damages the quality of a dataset.,Yes,FALSE,No duplicate records identified.
ACM-19,Content,Quality,Important,Does the dataset include all expected records and content?,"The expected content is defined by the metadata. If the dataset has no metadata, mark this question ""No"".",Yes,FALSE,All expected raw and processed files present per metadata.
ACM-20,Content,Format,Critical,"Are units, data types and parameter names consistent between entries?","Data types and vocabularies should be used consistently, even if a dataset combines data from multiple sources.",Yes,FALSE,Consistent parameter naming and units across all samples.
ACM-21,Content,Standards,Important,"Does the dataset follow domain standards with respect to units, data types, parameter names?",This could be indicated by a schema or domain-specific minimum information standard.,Yes,FALSE,Follows HUPO-PSI mzML and mzIdentML standards.
ACM-22,Content,Format,Optional,Does the data use an appropriate file format?,"Particularly with respect to efficiency and suitability. The appropriate format is specific to the modality, domain, and intended use.",Yes,FALSE,mzML for spectra
ACM-23,Content,Format,Optional,"Is the data available in at least one open, non-proprietary format?",It should be possible to read a dataset and write it to a different format without the use of proprietary software.,Yes,FALSE,mzML and mzIdentML are open XML-based formats.
